名詞 	 私
助詞 	 は
連体詞 	 その
名詞 	 人
助詞 	 を
副詞 	 常に
名詞 	 先生
フィラー 	 と
動詞 	 呼ん
助動詞 	 で
形容詞 	 いた
記号 	 。
接続詞 	 だから
名詞 	 ここ
接続詞 	 でも
副詞 	 ただ
名詞 	 先生
フィラー 	 と
動詞 	 書く
助詞 	 だけ
助動詞 	 で
名詞 	 本名
助詞 	 は
動詞 	 打ち明け
形容詞 	 ない
記号 	 。
名詞 	 これ
助詞 	 は
名詞 	 世間
助詞 	 を
x 	 憚
形容詞 	 かる
名詞 	 遠慮
助詞 	 という
副詞 	 より
助詞 	 も
名詞 	 、
連体詞 	 その
名詞 	 方
接続詞 	 が
名詞 	 私
助詞 	 にとって
名詞 	 自然
接続詞 	 だから
助動詞 	 で
連体詞 	 ある
記号 	 。
名詞 	 私
助詞 	 は
連体詞 	 その
名詞 	 人
名詞 	 の
名詞 	 記憶
助詞 	 を
動詞 	 呼び
動詞 	 起す
名詞 	 ごと
助詞 	 に
名詞 	 、
副詞 	 すぐ
記号 	 「
名詞 	 先生
記号 	 」
名詞 	 とい
形容詞 	 いたく
形容詞 	 なる
記号 	 。
名詞 	 筆
助詞 	 を
動詞 	 執っ
助動詞 	 て
助詞 	 も
名詞 	 心持
助詞 	 は
名詞 	 同
名詞 	 じ事
助動詞 	 で
連体詞 	 ある
記号 	 。
形容詞 	 よそよそしい
名詞 	 頭文字
助詞 	 など
助詞 	 は
副詞 	 とても
動詞 	 使う
名詞 	 気
助詞 	 に
助動詞 	 なら
形容詞 	 ない
記号 	 。
